,Year,County,State,Zip code,latitude,longitude,Plant Hardiness Zone,Corn Acres Harvested,Sales ($),CV,State ANSI,Ag District,Ag District Code,Concatenated
63,2012,KENOSHA,WISCONSIN,53101,42.52,-88.24,5b,27622.0,21115000,2.8,55,SOUTHEAST,90,KENOSHAWISCONSIN2012
64,2012,MILWAUKEE,WISCONSIN,53110,42.94,-87.86,5b,741.0,601000,2.8,55,SOUTHEAST,90,MILWAUKEEWISCONSIN2012
65,2012,OZAUKEE,WISCONSIN,53004,43.5,-87.85,5b,9964.0,7294000,2.8,55,SOUTHEAST,90,OZAUKEEWISCONSIN2012
66,2012,RACINE,WISCONSIN,53105,42.67,-88.27,5b,34447.0,26477000,2.8,55,SOUTHEAST,90,RACINEWISCONSIN2012
67,2012,WALWORTH,WISCONSIN,53114,42.6,-88.71,5b,80856.0,49885000,2.8,55,SOUTHEAST,90,WALWORTHWISCONSIN2012
68,2012,WASHINGTON,WISCONSIN,53002,43.47,-88.35,5a,27087.0,16049000,2.8,55,SOUTHEAST,90,WASHINGTONWISCONSIN2012
69,2012,WAUKESHA,WISCONSIN,53005,43.06,-88.11,5b,27539.0,16969000,2.8,55,SOUTHEAST,90,WAUKESHAWISCONSIN2012
70,2012,CRAWFORD,WISCONSIN,53821,43.04,-91.14,5a,31576.0,21730000,2.8,55,SOUTHWEST,70,CRAWFORDWISCONSIN2012
71,2012,GRANT,WISCONSIN,53554,42.9,-90.43,5a,139973.0,86664000,2.8,55,SOUTHWEST,70,GRANTWISCONSIN2012
72,2012,IOWA,WISCONSIN,53503,43.16,-89.91,4b,59049.0,31591000,2.8,55,SOUTHWEST,70,IOWAWISCONSIN2012
73,2012,LAFAYETTE,WISCONSIN,53504,42.7,-89.86,5a,114595.0,64542000,2.8,55,SOUTHWEST,70,LAFAYETTEWISCONSIN2012
74,2012,RICHLAND,WISCONSIN,53518,43.18,-90.57,5a,31988.0,20442000,2.8,55,SOUTHWEST,70,RICHLANDWISCONSIN2012
75,2012,SAUK,WISCONSIN,53561,43.37,-89.62,5a,80683.0,43924000,2.8,55,SOUTHWEST,70,SAUKWISCONSIN2012
76,2012,VERNON,WISCONSIN,54621,43.65,-91.09,4b,58023.0,42647000,2.8,55,SOUTHWEST,70,VERNONWISCONSIN2012
77,2012,BUFFALO,WISCONSIN,54610,44.33,-91.92,4b,67741.0,53133000,2.8,55,WEST CENTRAL,40,BUFFALOWISCONSIN2012
78,2012,DUNN,WISCONSIN,54725,45.04,-92.03,4a,104508.0,79779000,2.8,55,WEST CENTRAL,40,DUNNWISCONSIN2012
79,2012,EAU CLAIRE,WISCONSIN,54701,44.75,-91.51,4b,46785.0,31930000,2.8,55,WEST CENTRAL,40,EAUCLAIREWISCONSIN2012
80,2012,JACKSON,WISCONSIN,54611,44.43,-90.91,4b,53029.0,35738000,2.8,55,WEST CENTRAL,40,JACKSONWISCONSIN2012
81,2012,LA CROSSE,WISCONSIN,54601,43.82,-91.23,4b,35026.0,27594000,2.8,55,WEST CENTRAL,40,LACROSSEWISCONSIN2012
82,2012,MONROE,WISCONSIN,54619,43.74,-90.78,5a,50823.0,31700000,2.8,55,WEST CENTRAL,40,MONROEWISCONSIN2012
83,2012,PEPIN,WISCONSIN,54721,44.62,-92.06,4b,24442.0,19823000,2.8,55,WEST CENTRAL,40,PEPINWISCONSIN2012
84,2012,PIERCE,WISCONSIN,54003,44.77,-92.43,4b,72783.0,67561000,2.8,55,WEST CENTRAL,40,PIERCEWISCONSIN2012
85,2012,ST CROIX,WISCONSIN,54002,44.96,-92.37,4b,84604.0,76689000,2.8,55,WEST CENTRAL,40,SAINTCROIXWISCONSIN2012
86,2012,TREMPEALEAU,WISCONSIN,54612,44.25,-91.49,4b,82920.0,59370000,2.8,55,WEST CENTRAL,40,TREMPEALEAUWISCONSIN2012
87,2012,CONTRA COSTA,CALIFORNIA,94505,37.87,-121.6,9b,1851.0,2798000,3.1,6,CENTRAL COAST,40,CONTRACOSTACALIFORNIA2012
88,2012,NAPA,CALIFORNIA,94503,38.18,-122.25,9b,4.0,2000,3.1,6,CENTRAL COAST,40,NAPACALIFORNIA2012
89,2012,SAN BENITO,CALIFORNIA,95023,36.89,-121.24,9b,12.0,1000,3.1,6,CENTRAL COAST,40,SANBENITOCALIFORNIA2012
90,2012,SAN LUIS OBISPO,CALIFORNIA,93401,35.25,-120.62,9b,264.0,0,3.1,6,CENTRAL COAST,40,SANLUISOBISPOCALIFORNIA2012
91,2012,SANTA CLARA,CALIFORNIA,94022,37.36,-122.14,9b,3.0,0,3.1,6,CENTRAL COAST,40,SANTACLARACALIFORNIA2012
92,2012,SONOMA,CALIFORNIA,94922,38.36,-122.95,9b,12.0,0,3.1,6,CENTRAL COAST,40,SONOMACALIFORNIA2012
93,2012,HUMBOLDT,CALIFORNIA,95501,40.8,-124.15,9b,9.0,86000,3.1,6,NORTHERN COAST,10,HUMBOLDTCALIFORNIA2012
94,2012,BUTTE,CALIFORNIA,95914,39.42,-121.36,9b,499.0,0,3.1,6,SACRAMENTO VALLEY,50,BUTTECALIFORNIA2012
95,2012,COLUSA,CALIFORNIA,95912,39.02,-122.04,9b,5799.0,7529000,3.1,6,SACRAMENTO VALLEY,50,COLUSACALIFORNIA2012
96,2012,GLENN,CALIFORNIA,95913,39.63,-122.19,9a,7264.0,13423000,3.1,6,SACRAMENTO VALLEY,50,GLENNCALIFORNIA2012
97,2012,SACRAMENTO,CALIFORNIA,94203,38.58,-121.49,9b,16082.0,15127000,3.1,6,SACRAMENTO VALLEY,50,SACRAMENTOCALIFORNIA2012
98,2012,SOLANO,CALIFORNIA,94510,38.11,-122.13,9b,9289.0,10629000,3.1,6,SACRAMENTO VALLEY,50,SOLANOCALIFORNIA2012
99,2012,SUTTER,CALIFORNIA,95659,38.83,-121.58,9b,11478.0,14461000,3.1,6,SACRAMENTO VALLEY,50,SUTTERCALIFORNIA2012
100,2012,TEHAMA,CALIFORNIA,96021,39.92,-122.28,9a,719.0,1441000,3.1,6,SACRAMENTO VALLEY,50,TEHAMACALIFORNIA2012
101,2012,YOLO,CALIFORNIA,95605,38.59,-121.54,9b,15084.0,20284000,3.1,6,SACRAMENTO VALLEY,50,YOLOCALIFORNIA2012
102,2012,FRESNO,CALIFORNIA,93210,36.19,-120.39,9a,4183.0,18475000,3.1,6,SAN JOAQUIN VALLEY,51,FRESNOCALIFORNIA2012
103,2012,KERN,CALIFORNIA,93203,35.08,-118.79,9b,4598.0,18245000,3.1,6,SAN JOAQUIN VALLEY,51,KERNCALIFORNIA2012
104,2012,KINGS,CALIFORNIA,93202,36.31,-119.71,9a,8486.0,44414000,3.1,6,SAN JOAQUIN VALLEY,51,KINGSCALIFORNIA2012
105,2012,MADERA,CALIFORNIA,93601,37.39,-119.73,9a,2104.0,9652000,3.1,6,SAN JOAQUIN VALLEY,51,MADERACALIFORNIA2012
106,2012,MERCED,CALIFORNIA,93620,37.07,-120.63,9a,19555.0,58762000,3.1,6,SAN JOAQUIN VALLEY,51,MERCEDCALIFORNIA2012
